	0
ATSC2Z	-24.39506172839506
ATSC3pe	-0.319740740740741
ATSC1v	-88.00132617908156
ATS2are	76.51
ATS8i	0.0
ATSC4s	1.564814814814815
ATSC1m	-63.896508938271566
ATS2s	38.0
ATSC6pe	0.0
ATSC5p	0.0
ATSC1dv	-1.2345679012345678
AATSC3d	0.0123456790123456
ATSC0se	0.9667315555555552
AATS0dv	3.333333333333333
ATS5Z	0.0
ATS2m	301.124757
ATSC0c	0.2130386645385657
AATSC3Z	-0.5246913580246911
AATSC2c	-0.0012302731393274
ATSC2pe	-0.2919432098765427
AATSC1m	-7.987063617283946
ATSC7are	0.0
AATSC3dv	-0.3950617283950615
ATSC4dv	2.3703703703703702
ATSC3p	0.3442457459259255
ATS3Z	38.0
AATSC1c	-0.0124524336037476
ATSC0dv	22.88888888888889
SpDiam_A	2.82842712474619
ATSC3m	-27.322969629629643
ATS7d	0.0
AATSC2s	-0.2048907882241216
AATS1p	1.2788411920000002
ATS7i	0.0
ATS6pe	0.0
nAtom	9.0
AATS4d	1.0
AATSC2m	-8.989525386514718
AATSC4pe	0.0464641975308639
ATSC0s	21.55555555555556
ATSC5se	0.0
nN	0.0
nH	6.0
AATSC1dv	-0.1543209876543209
AATSC1pe	-0.0262399691358023
ATS3v	609.4474636943611
ATSC2s	-2.6635802469135808
nHeavyAtom	3.0
AATSC4d	0.0123456790123456
ATSC1are	-0.2190123456790119
ATS5d	0.0
nAromAtom	0.0
ATSC8Z	0.0
AATSC4Z	3.5679012345679006
AATS0s	5.361111111111111
ATS1pe	50.8925
AATS1v	172.7428895379014
ATS5p	0.0
ATSC2dv	-7.839506172839506
ATS4d	3.0
ATS6Z	0.0
ATS1i	1230.9346997656503
AATS4are	4.840000000000001
ATSC3Z	-6.296296296296294
ATSC4are	0.1337037037037033
ATS6are	0.0
nP	0.0
AATSC4s	0.5216049382716051
ATSC3se	-0.2303629629629628
nC	2.0
ATSC4p	0.1698718706533702
ATS8dv	0.0
AATSC2are	-0.0228679962013295
AATS0v	138.8807830053998
ATSC6Z	0.0
ATS2v	1279.511439273588
ATS0d	12.0
AATS1s	3.375
AATS2i	167.85521355243816
SpMAD_A	0.9428090415820632
ATSC3c	-0.0068931843043817
AATSC3v	3.5454408522118093
SpAbs_A	2.82842712474619
ATSC4pe	0.1393925925925919
ATSC5s	0.0
ATSC8s	0.0
ATS3d	12.0
AATS2are	5.885384615384615
AATSC2d	-0.0218423551756885
nAromBond	0.0
AATSC0pe	0.1516024691358024
ATS2i	2182.117776181696
AATS4dv	0.0
ATS5i	0.0
ATS5m	0.0
ATS8s	0.0
ATSC7c	0.0
ATS0i	1548.545910127994
ATSC0are	1.4688888888888885
ATS5dv	0.0
ATSC0pe	1.3644222222222215
ATS6m	0.0
AATS4p	0.4446129048489999
ATSC1p	-0.3790587545007897
AATSC4c	0.0053289572254457
ATSC2se	-0.1842966913580245
ATSC5c	0.0
VR2_A	1.1211952203382862
SpAD_A	2.82842712474619
ATSC2i	-5.003585488201577
ATSC7i	0.0
AATSC1are	-0.0273765432098764
ATSC3v	42.54529022654171
AATS3p	0.5228959588993334
ATSC7se	0.0
AATS3se	7.439903999999999
ATS6se	0.0
ATSC6se	0.0
ATS7p	0.0
ATSC5v	0.0
ATS1v	1381.9431163032111
AATSC3s	-0.4413580246913579
ATSC0i	8.524803221453547
ATS7v	0.0
AATS2p	0.8360456501073845
ATSC5i	0.0
ATS4s	3.0
ATS3m	68.61657600000001
ATSC7v	0.0
ATSC7dv	0.0
ATSC0d	0.888888888888889
ATSC7p	0.0
ATS8Z	0.0
AATS2v	98.42395686719908
AATSC1d	-0.0432098765432098
ATS1p	10.230729536000002
ATSC5m	0.0
ATS3se	89.278848
ATS8d	0.0
ATS4are	14.520000000000003
ATS3i	2188.016593995342
SpMax_A	1.414213562373095
AATSC3c	-0.0005744320253651
AATS3v	50.78728864119676
ATSC6dv	0.0
ATSC7Z	0.0
ATS7dv	0.0
ATS4se	20.155392
ATS0Z	142.0
VE2_A	0.569035593728849
AATS2s	2.923076923076923
ATS5s	0.0
ATS1d	12.0
AATS3s	2.333333333333333
AATSC0se	0.1074146172839505
ATS4v	93.2512332927908
ATSC5pe	0.0
ATSC8se	0.0
ATS7are	0.0
AATS4s	1.0
AATS4pe	4.840000000000001
ATSC8are	0.0
ATS5v	0.0
ATSC2p	-0.8958158073719505
ATSC5d	0.0
ATSC4se	0.0695148148148146
ATS6i	0.0
