Taste,Compound,Notes
Sweet,Stevia,Low calorie
Sweet,Erythritol,Low calorie
Sweet,Allulose,Low calorie
Sweet,Tagatose,Low calorie
Sweet,Maltitol,Sugar alcohol
Sweet,Xylitol,Sugar alcohol
Sweet,Mannitol,Sugar alcohol
Sweet,Aspartame,Artificial sweetener
Sweet,Saccharin,Artificial sweetener
Sweet,Sucralose,Low calorie
Sweet,Neotame,Artificial sweetener
Sweet,Acesulfame K,Artificial sweetener
Sweet,Isomalt,Sugar alcohol
Sweet,Trehalose,Natural sugar
Sweet,Sorbitol,Sugar alcohol
Sweet,Lactitol,Sugar alcohol
Sweet,Advantame,Artificial sweetener
Bitter,Caffeine,Bitter enhancer
Bitter,Quinine,Bitter blocker
Bitter,Naringin,Bitter blocker
Bitter,Limonin,Bitter blocker
Bitter,Theobromine,Bitter enhancer
Bitter,Denatonium benzoate,Bitter enhancer
Bitter,Humulinone,Bitter from hops
Bitter,Isohumulone,Bitter from hops
Bitter,Santonin,Bitter alkaloid
Bitter,Amarogentin,Strong bitter
Bitter,Gentisin,Bitter alkaloid
Bitter,Nigakilactone A,Bitter alkaloid
Bitter,Cucurbitacin E,Bitter alkaloid
Umami,Monosodium glutamate,Flavor enhancer
Umami,Disodium inosinate,Flavor enhancer
Umami,Disodium guanylate,Flavor enhancer
Umami,Glutamic acid,Flavor enhancer
Umami,Aspartic acid,Flavor enhancer
Umami,Glycine,Mild flavor enhancer
Umami,L-Alanine,Flavor enhancer
Umami,L-Serine,Flavor enhancer
Umami,Calcium diglutamate,Flavor enhancer
Umami,Potassium glutamate,Flavor enhancer
Umami,Sodium succinate,Flavor enhancer
Umami,Yeast extract peptides,Flavor enhancer
Umami,IMP (Inosine monophosphate),Flavor enhancer
Umami,GMP (Guanosine monophosphate),Flavor enhancer
Umami,Hydrolyzed vegetable protein,Flavor enhancer
Other,Vanillin,Flavor additive
Other,Citric acid,Acidulant
Other,Lactic acid,Acidulant
Other,Acetic acid,Acidulant
Other,Malic acid,Acidulant
Other,Tartaric acid,Acidulant
Other,Fumaric acid,Acidulant
Other,Sodium benzoate,Preservative
Other,Potassium sorbate,Preservative
Other,Sodium chloride,Saltiness
Other,Potassium chloride,Salt replacer
Other,Calcium chloride,Salt replacer
Other,Ammonium chloride,Flavor additive
Other,Vanillic acid,Flavor additive
Other,Ethyl maltol,Flavor additive
Other,Guaiacol,Flavor additive
Other,Cinnamaldehyde,Flavor additive
Other,Eugenol,Flavor additive
Other,Linalool,Flavor additive
Other,Thymol,Flavor additive
